sample	coverage	taxonomy
ces_6_DKDN250001563-1A_22KVLLLT4_L6_1	23.99	Root; d__Bacteria
ces_6_DKDN250001563-1A_22KVLLLT4_L6_1	0.91	Root; d__Bacteria; p__Pseudomonadota
ces_6_DKDN250001563-1A_22KVLLLT4_L6_1	0.06	Root; d__Bacteria; p__Patescibacteriota
ces_6_DKDN250001563-1A_22KVLLLT4_L6_1	0.11	Root; d__Bacteria; p__Actinomycetota
ces_6_DKDN250001563-1A_22KVLLLT4_L6_1	4.48	Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria
ces_6_DKDN250001563-1A_22KVLLLT4_L6_1	0.28	Root; d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria
ces_6_DKDN250001563-1A_22KVLLLT4_L6_1	0.69	Root; d__Bacteria; p__Bacteroidota; c__Bacteroidia
ces_6_DKDN250001563-1A_22KVLLLT4_L6_1	0.68	Root; d__Bacteria; p__Verrucomicrobiota; c__Verrucomicrobiia
ces_6_DKDN250001563-1A_22KVLLLT4_L6_1	0.06	Root; d__Bacteria; p__Actinomycetota; c__Actinomycetes
ces_6_DKDN250001563-1A_22KVLLLT4_L6_1	9.49	Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Rhizobiales
ces_6_DKDN250001563-1A_22KVLLLT4_L6_1	0.23	Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Caulobacterales
ces_6_DKDN250001563-1A_22KVLLLT4_L6_1	0.34	Root; d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Burkholderiales
ces_6_DKDN250001563-1A_22KVLLLT4_L6_1	0.63	Root; d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Pseudomonadales
ces_6_DKDN250001563-1A_22KVLLLT4_L6_1	0.11	Root; d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Chitinophagales
ces_6_DKDN250001563-1A_22KVLLLT4_L6_1	0.45	Root; d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Cytophagales
ces_6_DKDN250001563-1A_22KVLLLT4_L6_1	0.34	Root; d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Flavobacteriales
ces_6_DKDN250001563-1A_22KVLLLT4_L6_1	0.68	Root; d__Bacteria; p__Patescibacteriota; c__Minisyncoccia; o__UBA9973
ces_6_DKDN250001563-1A_22KVLLLT4_L6_1	0.06	Root; d__Bacteria; p__Bdellovibrionota; c__Bdellovibrionia; o__Bdellovibrionales
ces_6_DKDN250001563-1A_22KVLLLT4_L6_1	32.2	Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Rhizobiales; f__Xanthobacteraceae
ces_6_DKDN250001563-1A_22KVLLLT4_L6_1	2.27	Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Rhizobiales; f__Rhizobiaceae
ces_6_DKDN250001563-1A_22KVLLLT4_L6_1	0.72	Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Rhizobiales; f__Beijerinckiaceae
ces_6_DKDN250001563-1A_22KVLLLT4_L6_1	4.14	Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Caulobacterales; f__Caulobacteraceae
ces_6_DKDN250001563-1A_22KVLLLT4_L6_1	3.51	Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Sphingomonadales; f__Sphingomonadaceae
ces_6_DKDN250001563-1A_22KVLLLT4_L6_1	0.69	Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Rhodobacterales; f__Rhodobacteraceae
ces_6_DKDN250001563-1A_22KVLLLT4_L6_1	2.46	Root; d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Burkholderiales; f__Burkholderiaceae
ces_6_DKDN250001563-1A_22KVLLLT4_L6_1	0.59	Root; d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Chitinophagales; f__Chitinophagaceae
ces_6_DKDN250001563-1A_22KVLLLT4_L6_1	0.57	Root; d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Cytophagales; f__Cyclobacteriaceae
ces_6_DKDN250001563-1A_22KVLLLT4_L6_1	0.85	Root; d__Bacteria; p__Verrucomicrobiota; c__Verrucomicrobiia; o__Opitutales; f__Opitutaceae
ces_6_DKDN250001563-1A_22KVLLLT4_L6_1	1.13	Root; d__Bacteria; p__Actinomycetota; c__Actinomycetes; o__Actinomycetales; f__Microbacteriaceae
ces_6_DKDN250001563-1A_22KVLLLT4_L6_1	0.4	Root; d__Bacteria; p__Bdellovibrionota; c__Bdellovibrionia; o__Bdellovibrionales; f__UBA1609
ces_6_DKDN250001563-1A_22KVLLLT4_L6_1	416.47	Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Rhizobiales; f__Xanthobacteraceae; g__Bradyrhizobium
ces_6_DKDN250001563-1A_22KVLLLT4_L6_1	1.28	Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Rhizobiales; f__Rhizobiaceae; g__Allorhizobium
ces_6_DKDN250001563-1A_22KVLLLT4_L6_1	0.61	Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Rhizobiales; f__Rhizobiaceae; g__Neorhizobium
ces_6_DKDN250001563-1A_22KVLLLT4_L6_1	1.34	Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Caulobacterales; f__Caulobacteraceae; g__Brevundimonas
ces_6_DKDN250001563-1A_22KVLLLT4_L6_1	0.5	Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Caulobacterales; f__Caulobacteraceae; g__BOG-938
ces_6_DKDN250001563-1A_22KVLLLT4_L6_1	4.23	Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Caulobacterales; f__Caulobacteraceae; g__Phenylobacterium
ces_6_DKDN250001563-1A_22KVLLLT4_L6_1	0.65	Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Caulobacterales; f__Caulobacteraceae; g__Caulobacter
ces_6_DKDN250001563-1A_22KVLLLT4_L6_1	3.94	Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Sphingomonadales; f__Sphingomonadaceae; g__Novosphingobium
ces_6_DKDN250001563-1A_22KVLLLT4_L6_1	0.73	Root; d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Burkholderiales; f__Burkholderiaceae; g__Hydrogenophaga
ces_6_DKDN250001563-1A_22KVLLLT4_L6_1	0.4	Root; d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Burkholderiales; f__Burkholderiaceae; g__Piscinibacter
ces_6_DKDN250001563-1A_22KVLLLT4_L6_1	1.36	Root; d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Burkholderiales; f__Methylophilaceae; g__Methylophilus
ces_6_DKDN250001563-1A_22KVLLLT4_L6_1	0.09	Root; d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Pseudomonadales; f__Cellvibrionaceae; g__Cellvibrio
ces_6_DKDN250001563-1A_22KVLLLT4_L6_1	0.4	Root; d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Chitinophagales; f__Chitinophagaceae; g__Parasegetibacter
ces_6_DKDN250001563-1A_22KVLLLT4_L6_1	0.6	Root; d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Chitinophagales; f__Chitinophagaceae; g__Terrimonas_A
ces_6_DKDN250001563-1A_22KVLLLT4_L6_1	1.14	Root; d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Flavobacteriales; f__Flavobacteriaceae; g__Flavobacterium
ces_6_DKDN250001563-1A_22KVLLLT4_L6_1	0.74	Root; d__Bacteria; p__Verrucomicrobiota; c__Verrucomicrobiia; o__Opitutales; f__Opitutaceae; g__IMCC26134_A
ces_6_DKDN250001563-1A_22KVLLLT4_L6_1	212.47	Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Rhizobiales; f__Xanthobacteraceae; g__Bradyrhizobium; s__Bradyrhizobium sp036924525
ces_6_DKDN250001563-1A_22KVLLLT4_L6_1	61.3	Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Rhizobiales; f__Xanthobacteraceae; g__Bradyrhizobium; s__Bradyrhizobium valentinum
ces_6_DKDN250001563-1A_22KVLLLT4_L6_1	113.12	Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Rhizobiales; f__Xanthobacteraceae; g__Bradyrhizobium; s__Bradyrhizobium algeriense
ces_6_DKDN250001563-1A_22KVLLLT4_L6_1	0.54	Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Rhizobiales; f__Rhizobiaceae; g__Allorhizobium; s__Allorhizobium sp002855515
ces_6_DKDN250001563-1A_22KVLLLT4_L6_1	0.58	Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Rhizobiales; f__Rhizobiaceae; g__Neorhizobium; s__Neorhizobium rhizoryzae
ces_6_DKDN250001563-1A_22KVLLLT4_L6_1	0.38	Root; d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Burkholderiales; f__Burkholderiaceae; g__Pseudorhodoferax; s__Pseudorhodoferax soli
ces_6_DKDN250001563-1A_22KVLLLT4_L6_1	2.47	Root; d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Pseudomonadales; f__Cellvibrionaceae; g__Cellvibrio; s__Cellvibrio sp000263355
